track_id,title,artist,album,genre,release_date,duration,play_count
1,"Rhythm of the Night","DJ Echo","Dance Hits","Dance",2024-02-01,210,350
2,"Echoes","The Soundwave","Soundscapes","Ambient",2023-11-15,190,275
3,"Harmony Falls","Music Maker","Melody Magic","Classical",2023-09-20,240,420
4,"Beat Street","Groove Masters","Urban Vibes","Hip-Hop",2024-05-10,200,305
5,"Summer Breeze","Vocal Vibes","Summer Tunes","Pop",2024-07-22,220,180
6,"Midnight Drive","Synth City","Night Moves","Electronic",2023-12-30,180,250
7,"Sunrise Serenade","Acoustic Aces","Morning Melodies","Folk",2023-10-12,210,310
8,"Electric Dreams","Future Beats","Tech Tunes","Electronic",2024-01-08,230,350
9,"Classical Reverie","Orchestra Ensemble","Grand Performances","Classical",2024-03-15,300,400
10,"Urban Legends","Street Sounds","City Beats","Hip-Hop",2024-06-18,210,225
